"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2024-09-07T17:12:10.557Z,N/A,N/A,"SUPER JUNIOR - My Wish",false,France,N/A,1633002149,"library / songs",2024-09-07T17:12:10.557Z,NATURAL_END_OF_TRACK,2024-09-07T17:16:16.930Z,2024-09-07T17:22:10.208Z,2024-09-07T17:12:10.557Z,246373,246373,246373,AUDIO,0,1,0,246373
2024-09-07T17:10:16.784Z,N/A,N/A,"RM - Change pt.2",false,France,N/A,1654548654,"library / songs",2024-09-07T17:10:16.784Z,NATURAL_END_OF_TRACK,2024-09-07T17:12:10.810Z,2024-09-07T17:22:10.208Z,2024-09-07T17:10:16.784Z,114026,114026,114026,AUDIO,0,1,0,114026
2024-09-07T17:07:02.283Z,N/A,N/A,"STAYC - ASAP",false,France,N/A,1561143399,"library / songs",2024-09-07T17:07:02.283Z,NATURAL_END_OF_TRACK,2024-09-07T17:10:16.430Z,2024-09-07T17:22:10.208Z,2024-09-07T17:07:02.283Z,194147,194147,194147,AUDIO,0,1,0,194147
2024-09-07T17:04:02.801Z,N/A,N/A,"ZEROBASEONE - Sunday RIDE",false,France,N/A,1744312135,"library / songs",2024-09-07T17:04:02.801Z,NATURAL_END_OF_TRACK,2024-09-07T17:07:02.629Z,2024-09-07T17:22:10.208Z,2024-09-07T17:04:02.801Z,179828,179828,179828,AUDIO,0,1,0,179828
2024-09-07T17:00:40.563Z,N/A,N/A,"SEVENTEEN - All My Love",false,France,N/A,1535649389,"library / songs",2024-09-07T17:00:40.563Z,NATURAL_END_OF_TRACK,2024-09-07T17:04:02.509Z,2024-09-07T17:22:10.208Z,2024-09-07T17:00:40.563Z,201946,201946,201946,AUDIO,0,1,0,201946
2024-09-07T16:57:22.638Z,N/A,N/A,"SEVENTEEN - Do Re Mi",false,France,N/A,1535649374,"library / songs",2024-09-07T16:57:22.638Z,NATURAL_END_OF_TRACK,2024-09-07T17:00:40.198Z,2024-09-07T17:22:10.208Z,2024-09-07T16:57:22.638Z,197560,197560,197560,AUDIO,0,1,0,197560
2024-09-07T16:54:02.175Z,N/A,N/A,"SEVENTEEN - Lie Again",false,France,N/A,1551739589,"library / songs",2024-09-07T16:54:02.175Z,NATURAL_END_OF_TRACK,2024-09-07T16:57:22.588Z,2024-09-07T17:22:10.208Z,2024-09-07T16:54:02.175Z,200413,200413,200413,AUDIO,0,1,0,200413
2024-09-07T16:50:57.009Z,N/A,N/A,"JAIE & Juju B. Goode - Moon Sailing",false,France,N/A,1678000913,"library / songs",2024-09-07T16:50:57.009Z,NATURAL_END_OF_TRACK,2024-09-07T16:54:02.194Z,2024-09-07T17:22:10.208Z,2024-09-07T16:50:57.009Z,185185,185185,185185,AUDIO,0,1,0,185185
2024-09-07T16:45:58.968Z,N/A,N/A,"Red Velvet - Remember Forever",false,France,N/A,1491888511,"library / songs",2024-09-07T16:45:58.968Z,NATURAL_END_OF_TRACK,2024-09-07T16:49:06.688Z,2024-09-07T16:49:06.749Z,2024-09-07T16:45:58.968Z,187720,187720,187720,AUDIO,0,1,0,187720
2024-09-07T16:43:17.358Z,N/A,N/A,"j-hope & Jung Kook - i wonder...",false,France,N/A,1730608081,"library / songs",2024-09-07T16:43:17.358Z,NATURAL_END_OF_TRACK,2024-09-07T16:46:01.006Z,2024-09-07T16:46:27.563Z,2024-09-07T16:43:17.358Z,163648,163648,163648,AUDIO,0,1,0,163648
